Fresno stat,Fresno nonstat,Los Angeles stat,Los Angeles nonstat,Sacramento stat,Sacramento nonstat,San Diego stat,San Diego nonstat,San Jose stat,San Jose nonstat,San Francisco stat,San Francisco nonstat
24.94568365,25.53523321,47.62439861,49.99919264,37.55580218,36.75068255,29.17303812,29.84636811,26.55472637,26.81008943,39.77655762,40.21728767
28.3514971,29.3807045,58.0151995,60.80678104,43.5228329,42.88958737,34.50583398,35.28959793,30.57012161,31.11855847,45.39592954,45.91429306
30.53558421,31.84694515,64.65649028,67.71928542,47.34282257,46.81889688,37.92734015,38.7788217,33.13232782,33.86476055,48.99730752,49.56240376
32.15455023,33.67516412,69.56826559,72.83406926,50.1711121,49.72776849,40.46439558,41.36451149,35.02516259,35.89201245,51.6657285,52.26393169
33.44347008,35.13074207,73.47196978,76.90058926,52.42081693,52.04135357,42.48475557,43.42264157,36.52823165,37.50090478,53.78947869,54.41310807
34.51509468,36.34097148,76.71301876,80.27780735,54.28990103,53.96336394,44.16485597,45.13350421,37.77528718,38.83514356,55.55473342,56.19887497
35.43255012,37.37712244,79.48452538,83.16646975,55.88911738,55.60775944,45.60349912,46.59802243,38.84105348,39.97497628,57.06569946,57.72695026
36.23483696,38.28322839,81.90565618,85.69048441,57.28684927,57.04489881,46.86173783,47.87853933,39.77161424,40.96987339,58.3867436,59.06261465
36.94777071,39.08843698,84.05520952,87.93180267,58.52833742,58.3213271,47.9799907,49.0163163,40.59742656,41.85251926,59.56046377,60.24905989
37.58933783,39.81305675,85.98803712,89.94748178,59.64508775,59.46945696,48.98642238,50.04009823,41.33968218,42.64564858,60.61653431,61.31636723
38.17257749,40.47181055,87.74387131,91.7788587,60.65993079,60.51277497,49.90145307,50.97072148,42.01372538,43.36571844,61.5764642,62.2863362
38.70724688,41.07571566,89.35242209,93.45684801,61.58994417,61.46884879,50.74036481,51.82377649,42.63102578,44.02502733,62.45634641,63.17527422
39.20083915,41.6332331,90.83649054,95.00517853,62.44823842,62.35116465,51.51489481,52.61123516,43.20038286,44.63300859,63.26853824,63.99570119
39.65923462,42.15100279,92.21395904,96.44246265,63.24509887,63.17030229,52.23425473,53.34249182,43.7286958,45.19705687,64.02273606,64.75743957
40.08713322,42.63433192,93.49911235,97.78357003,63.98874386,63.93471502,52.90580779,54.02505454,44.22147423,45.72307638,64.72668905,65.46833823
40.48835102,43.08752963,94.70354272,99.04056888,64.68584437,64.65126437,53.53553291,54.66501902,44.68318812,46.21585641,65.38668846,66.13476849
40.86602899,43.51414278,95.83678698,100.2233886,65.34188985,65.32559642,54.12835166,55.26740227,45.11751397,46.67933543,66.0079121,66.76197345
41.22278355,43.91712595,96.90678558,101.3402974,65.96145191,65.96241311,54.68836398,55.83638323,45.52751217,47.11679142,66.59467268,67.35431969
41.56081731,44.29896644,97.92022029,102.3982534,66.54837826,66.56567176,55.21902157,56.37547969,45.91575743,47.53098177,67.15060057,67.91548251
41.88200205,44.66177799,98.88276692,103.4031676,67.105938,67.13873451,55.72325789,56.88768097,46.2844364,47.92424791,67.67878059,68.44858463
42.18794188,45.00737208,99.79928769,104.3601043,67.63693215,67.68448205,56.20358702,57.37554871,46.63542192,48.29859504,68.18185623,68.95630173
42.48002197,45.33731297,100.6739797,105.2734352,68.14377901,68.20540139,56.66218006,57.84129489,46.97033033,48.6557535,68.66211005,69.44094396
42.75944671,45.65296077,101.510491,106.1469604,68.62858085,68.70365451,57.10092482,58.28684269,47.29056627,48.99722683,69.12152655,69.90451962
43.02726988,45.95550551,102.3120122,106.984004,69.09317671,69.18113267,57.52147311,58.7138747,47.59735812,49.32432973,69.56184197,70.34878564
43.28441874,46.24599438,103.0813502,107.7874901,69.53918465,69.63949977,57.92527856,59.1238715,47.89178625,49.63821841,69.98458402,70.77528782
43.53171358,46.52535373,103.8209872,108.560005,69.96803572,70.08022748,58.31362708,59.51814275,48.17480594,49.93991508,70.39110404,71.18539338
43.76988351,46.794407,104.5331287,109.3038468,70.3810018,70.50462367,58.68766174,59.89785255,48.44726595,50.23032785,70.78260317,71.58031747
43.99957955,47.05388938,105.2197436,110.0210672,70.77921833,70.91385595,59.04840322,60.26404022,48.70992375,50.51026714,71.16015378,71.96114491
44.22138537,47.30446006,105.8825967,110.7135051,71.16370315,71.30897096,59.39676664,60.61763759,48.96345821,50.78045917,71.52471728,72.32884823
44.4358263,47.54671231,106.5232757,111.3828152,71.53537224,71.69091057,59.73357567,60.95948328,49.20848008,51.04155725,71.87715893,72.68430259
44.64337683,47.78118202,107.1432144,112.030492,71.89505285,72.06052543,60.05957433,61.29033475,49.44554082,51.29415118,72.21826025,73.02829843
44.84446699,48.00835484,107.7437121,112.6578896,72.24349459,72.41858633,60.37543694,61.61087848,49.67514002,51.53877529,72.54872946,73.36155202
45.03948776,48.22867234,108.3259496,113.2662386,72.5813789,72.76579395,60.68177656,61.92173853,49.89773171,51.77591511,72.86921044,73.68471448
45.22879561,48.44253711,108.8910033,113.8566613,72.90932704,73.10278708,60.97915222,62.22348392,50.11372973,52.00601318,73.18029023,73.99837945
45.41271648,48.65031726,109.4398572,114.4301832,73.22790697,73.43014972,61.26807507,62.51663492,50.32351234,52.22947396,73.48250558,74.30308966
45.59154917,48.85235026,109.9734132,114.9877447,73.5376393,73.74841717,61.5490137,62.80166844,50.52742621,52.44666807,73.77634849,74.59934261
45.76556827,49.04894624,110.4924999,115.5302094,73.83900243,74.05808128,61.82239875,63.07902275,50.72578978,52.65793598,74.0622711,74.88759543
45.93502671,49.24039084,110.9978804,116.058373,74.13243692,74.35959506,62.0886269,63.34910153,50.91889631,52.86359118,74.34068988,75.16826915
46.10015797,49.42694778,111.490259,116.5729698,74.41834947,74.65337666,62.34806435,63.61227741,51.10701641,53.06392294,74.61198923,75.4417524
46.26117803,49.60886098,111.9702871,117.0746788,74.69711624,74.93981281,62.60104987,63.86889511,51.29040036,53.25919877,74.87652476,75.70840468
46.4182871,49.78635657,112.4385682,117.5641296,74.96908587,75.21926198,62.84789747,64.11927412,51.46928007,53.44966654,75.13462607,75.96855915
46.57167109,49.9596445,112.8956628,118.0419065,75.23458207,75.49205699,63.08889876,64.36371114,51.64387082,53.63555634,75.38659922,76.22252518
46.72150294,50.12892012,113.3420924,118.5085531,75.49390596,75.75850743,63.32432501,64.60248216,51.81437286,53.81708215,75.63272893,76.47059055
46.86794381,50.29436546,113.7783424,118.9645759,75.74733814,76.01890177,63.55442905,64.83584439,51.98097272,53.99444333,75.8732805,76.71302343
47.01114416,50.45615042,114.2048662,119.4104476,75.99514047,76.27350926,63.77944686,65.06403788,52.14384447,54.16782587,76.10850157,76.95007408
47.15124461,50.61443384,114.6220876,119.84661,76.23755776,76.52258157,63.99959905,65.28728705,52.30315082,54.33740362,76.33862363,77.18197647
47.28837682,50.76936444,115.0304029,120.2734767,76.47481916,76.76635428,64.21509216,65.505802,52.45904403,54.50333927,76.56386342,77.40894961
47.42266424,50.92108164,115.4301841,120.6914354,76.70713951,77.00504828,64.42611986,65.71977971,52.61166685,54.66578532,76.78442411,77.63119883
47.55422276,51.06971633,115.8217801,121.1008502,76.93472048,77.23887089,64.63286397,65.92940511,52.76115324,54.82488489,77.00049646,77.8489169
47.68316134,51.21539158,116.2055188,121.5020631,77.15775166,77.46801703,64.8354954,66.13485204,52.90762913,54.98077251,77.21225978,78.06228501
47.80958251,51.35822321,116.581709,121.8953961,77.37641147,77.6926701,65.03417504,66.33628411,53.05121299,55.13357472,77.41988286,78.27147369
47.93358292,51.49832035,116.9506415,122.2811525,77.59086804,77.91300297,65.22905451,66.53385552,53.19201646,55.28341079,77.62352472,78.47664363
48.05525373,51.635786,117.3125907,122.6596186,77.80127996,78.12917867,65.42027685,66.72771173,53.33014485,55.43039319,77.82333542,78.67794644
48.17468107,51.77071742,117.6678156,123.0310646,78.00779705,78.34135122,65.60797717,66.91799015,53.46569759,55.57462811,78.01945667,78.8755253
48.29194634,51.90320656,118.0165612,123.3957461,78.21056092,78.54966619,65.79228323,67.10482067,53.59876868,55.71621594,78.21202247,79.06951557
48.40712662,52.03334048,118.3590594,123.7539049,78.40970561,78.75426138,65.97331594,67.28832625,53.72944706,55.85525169,78.40115963,79.26004538
48.52029492,52.16120164,118.6955296,124.10577,78.6053581,78.95526733,66.15118987,67.46862338,53.85781698,55.99182532,78.5869883,79.44723609
48.63152047,52.28686825,119.0261802,124.4515588,78.7976388,79.15280781,66.32601366,67.64582252,53.98395835,56.12602215,78.76962242,79.63120281
48.74086901,52.41041454,119.3512088,124.7914773,78.98666201,79.34700033,66.49789044,67.82002852,54.10794696,56.25792313,78.94917013,79.81205479
48.84840297,52.53191105,119.6708029,125.1257214,79.17253628,79.53795648,66.66691821,67.99134101,54.22985484,56.38760515,79.12573419,79.9898958
48.95418173,52.65142484,119.9851413,125.4544774,79.35536487,79.72578239,66.83319012,68.1598547,54.34975044,56.51514133,79.29941227,80.16482453
49.05826179,52.76901972,120.2943936,125.7779225,79.535246,79.91057905,66.99679485,68.32565974,54.46769892,56.6406012,79.47029737,80.33693489
49.16069697,52.8847565,120.5987216,126.0962253,79.71227324,80.09244263,67.15781685,68.48884198,54.5837623,56.76405099,79.63847802,80.50631631
49.26153857,52.99869311,120.8982795,126.4095468,79.88653576,80.2714648,67.31633662,68.64948325,54.6979997,56.88555383,79.80403863,80.67305403
